scenario,K,mean_ber_b,mean_ber_nb,mean_fer_b,mean_fer_nb,mean_time_b,mean_time_nb,mean_delta_ber,mean_delta_fer,wins,points,win_share,speed_ratio_nb_over_b,practical_choice
amplitude_mismatch,128,0.36835611979166666,0.36648111979166664,0.8775,0.87875,0.21271626129169208,0.26618095016657506,-0.0018749999999999835,0.0012500000000000011,6,8,0.75,1.2513427443215932,"bcjr preferable (similar BER, simpler baseline)"
amplitude_mismatch,256,0.3758739276960784,0.37590628829656864,0.8988970588235294,0.9019607843137255,0.37384688875501415,0.4131224409090375,3.236060049020282e-05,0.0030637254901960823,8,17,0.47058823529411764,1.1050578547940277,"bcjr preferable (similar BER, simpler baseline)"
awgn,128,0.2131584821428571,0.21335565476190474,0.599047619047619,0.5971428571428571,0.21057185914328627,0.2649004170952442,0.00019717261904764514,-0.0019047619047618972,3,7,0.42857142857142855,1.2580048358455598,"bcjr preferable (similar BER, simpler baseline)"
awgn,256,0.21825402462121213,0.21858568596117423,0.608655303030303,0.6086931818181818,0.36305829883521445,0.41723441538084766,0.0003316613399621186,3.787878787878964e-05,7,22,0.3181818181818182,1.1492215347216805,"bcjr preferable (similar BER, simpler baseline)"
awgn,512,0.2168694196428571,0.2176674107142857,0.6371428571428571,0.6352380952380952,0.7250967345239284,0.7944926610003902,0.0007979910714285788,-0.0019047619047618536,3,7,0.42857142857142855,1.0957057495535745,"bcjr preferable (similar BER, simpler baseline)"
awgn,1024,0.21881696428571426,0.21896763392857138,0.6580952380952381,0.6576190476190477,1.4960809956181662,1.577166999333588,0.00015066964285713529,-0.0004761904761904872,1,7,0.14285714285714285,1.0541989397318143,"bcjr preferable (similar BER, simpler baseline)"
burst,128,0.26166015625,0.261787109375,0.7165,0.7165,0.17580887752494886,0.20398383487488894,0.00012695312499999166,0.0,4,8,0.5,1.1602590139166424,"bcjr preferable (similar BER, simpler baseline)"
burst,256,0.2648505859375,0.265228515625,0.88325,0.887,0.4408130324498052,0.49473797909932904,0.00037792968750000565,0.0037500000000000033,2,8,0.25,1.1223306542228064,"bcjr preferable (similar BER, simpler baseline)"
burst,512,0.2693021647135416,0.26955688476562495,0.9877083333333333,0.9872916666666667,0.7235973032082014,0.7946213171047324,0.00025472005208332545,-0.0004166666666666763,3,8,0.375,1.098154061080152,"bcjr preferable (similar BER, simpler baseline)"
impulsive_mismatch,128,0.33067578124999997,0.33164453125,0.91475,0.91725,0.1757417033494566,0.2040004778497241,0.0009687500000000078,0.0025000000000000022,3,8,0.375,1.1607972038604626,"bcjr preferable (similar BER, simpler baseline)"
impulsive_mismatch,256,0.3250127868652344,0.3256305847167969,0.94703125,0.9515078125,0.3890331316041533,0.4511479488856898,0.0006177978515625011,0.0044765625,12,32,0.375,1.1596645946976547,"bcjr preferable (similar BER, simpler baseline)"
impulsive_mismatch,512,0.33512125651041663,0.33676310221354167,0.99,0.9904166666666666,0.7242624262503887,0.7950848220829478,0.0016418457031249925,0.00041666666666664853,1,8,0.125,1.0977855446667542,"bcjr preferable (similar BER, simpler baseline)"
noise_mismatch,128,0.24556966145833328,0.24795572916666664,0.6470833333333333,0.6475,0.20636156695836685,0.26130766370833347,0.0023860677083333563,0.000416666666666666,3,8,0.375,1.2662612886684075,bcjr better
noise_mismatch,256,0.2626618987438725,0.26465197993259804,0.6851470588235293,0.6852696078431373,0.38332937050222016,0.43393416712757205,0.0019900811887254934,0.00012254901960785409,2,17,0.11764705882352941,1.1320138776714443,"bcjr preferable (similar BER, simpler baseline)"
rayleigh,128,0.263447265625,0.26609049479166663,0.71125,0.7141666666666667,0.19022775854127147,0.2397456023322835,0.0026432291666666674,0.002916666666666676,0,8,0.0,1.2603081914581291,bcjr better
rayleigh,256,0.24400985054347826,0.24534788269927538,0.6980434782608695,0.698713768115942,0.407521289319022,0.4649052193240092,0.0013380321557970982,0.0006702898550724526,6,23,0.2608695652173913,1.1408121035857468,"bcjr preferable (similar BER, simpler baseline)"
rayleigh,512,0.2662784830729166,0.2673982747395833,0.7520833333333333,0.7541666666666667,0.7270585595414013,0.7977746204580156,0.001119791666666655,0.002083333333333326,2,8,0.25,1.0972632258964383,"bcjr preferable (similar BER, simpler baseline)"
rayleigh_mismatch,128,0.284921875,0.28583984375,0.75625,0.75775,0.1757380485251487,0.20366265612460843,0.0009179687500000117,0.0015000000000000013,4,8,0.5,1.1588990422609797,"bcjr preferable (similar BER, simpler baseline)"
rayleigh_mismatch,256,0.2784294738769531,0.27874603271484377,0.7647109375,0.7668359375,0.3847230981742186,0.44508778110003594,0.0003165588378906188,0.0021250000000000028,13,32,0.40625,1.1569042337522497,"bcjr preferable (similar BER, simpler baseline)"
rayleigh_mismatch,512,0.2879581705729166,0.2881892903645833,0.8075,0.8079166666666666,0.7874995847293274,0.8518061881877536,0.00023111979166668463,0.00041666666666664853,4,8,0.5,1.081659222056008,"bcjr preferable (similar BER, simpler baseline)"
