scenario,K,mean_ber_v,mean_ber_nv,mean_fer_v,mean_fer_nv,mean_time_v,mean_time_nv,mean_delta_ber,mean_delta_fer,wins,points,win_share,speed_ratio_nv_over_v,practical_choice
amplitude_mismatch,128,0.3696419270833333,0.37284179687499996,0.8754166666666666,0.8866666666666667,0.053617279208459226,0.07343310225017677,0.0031998697916666603,0.011250000000000003,3,8,0.375,1.369579048662193,viterbi better
amplitude_mismatch,256,0.37673339843750003,0.3823406862745098,0.8982843137254902,0.907107843137255,0.09714720727645848,0.1243261782653109,0.005607287837009804,0.008823529411764714,5,17,0.29411764705882354,1.2797709965198212,viterbi better
awgn,128,0.2163095238095238,0.22252604166666665,0.5957142857142858,0.5966666666666667,0.0531872820471402,0.07314558485775095,0.006216517857142862,0.0009523809523809425,3,7,0.42857142857142855,1.3752457738472441,viterbi better
awgn,256,0.22140329071969697,0.22272712476325757,0.6070643939393939,0.6107386363636363,0.09477249030516921,0.13258174607349876,0.0013238340435606161,0.0036742424242424067,7,22,0.3181818181818182,1.3989475811660435,"viterbi preferable (similar BER, faster)"
awgn,512,0.2199897693452381,0.22111700148809524,0.6361904761904762,0.6357142857142858,0.19029060409493032,0.26127183928586806,0.0011272321428571624,-0.0004761904761904713,3,7,0.42857142857142855,1.373014923824233,"viterbi preferable (similar BER, faster)"
awgn,1024,0.22172526041666665,0.22283761160714285,0.6571428571428571,0.6628571428571428,0.39282566361872123,0.4738909918087025,0.0011123511904761788,0.005714285714285705,1,7,0.14285714285714285,1.2063646439064217,"viterbi preferable (similar BER, faster)"
burst,128,0.264224609375,0.266134765625,0.7145,0.71475,0.04538538987521311,0.05561650037571957,0.0019101562500000023,0.00024999999999998634,2,8,0.25,1.225427401387029,"viterbi preferable (similar BER, faster)"
burst,256,0.2685458984375,0.2699716796875,0.87775,0.88375,0.11347253359967721,0.154552921299517,0.001425781250000006,0.006000000000000005,1,8,0.125,1.3620293510389783,"viterbi preferable (similar BER, faster)"
burst,512,0.27246704101562497,0.27326212565104163,0.9858333333333333,0.9862500000000001,0.19013878335419573,0.26082439839613164,0.0007950846354166643,0.0004166666666666624,2,8,0.25,1.3717580064150343,"viterbi preferable (similar BER, faster)"
impulsive_mismatch,128,0.33291796875,0.335458984375,0.9145,0.918,0.045348880450008386,0.055690169125504285,0.0025410156250000107,0.003500000000000003,0,8,0.0,1.2280384559194557,viterbi better
impulsive_mismatch,256,0.327140625,0.3311669006347656,0.9468515625,0.9520703125,0.10116603132041924,0.1459054697258652,0.004026275634765628,0.005218750000000001,7,32,0.21875,1.4422377533397994,viterbi better
impulsive_mismatch,512,0.3373356119791666,0.339566650390625,0.99,0.9920833333333333,0.19051798454182667,0.2608891525828221,0.0022310384114583408,0.002083333333333326,1,8,0.125,1.3693675860062755,viterbi better
noise_mismatch,128,0.25078450520833334,0.25650390624999997,0.6383333333333333,0.6458333333333334,0.052165192624937184,0.07237972124976898,0.005719401041666656,0.007500000000000003,1,8,0.125,1.3875099009059997,viterbi better
noise_mismatch,256,0.2683661726409314,0.2713916015625,0.6820588235294118,0.68875,0.09918928623797371,0.13584040605152928,0.003025428921568616,0.006691176470588251,3,17,0.17647058823529413,1.3695068409467395,viterbi better
rayleigh,128,0.2651204427083333,0.2773990885416666,0.71,0.7379166666666667,0.04872198104193856,0.06585125525011482,0.012278645833333341,0.027916666666666635,2,8,0.25,1.3515717924817514,viterbi better
rayleigh,256,0.2477395408740942,0.25345420063405794,0.696231884057971,0.7071014492753622,0.10537440503071997,0.14727522161940237,0.005714659759963764,0.010869565217391302,7,23,0.30434782608695654,1.3976375152625249,viterbi better
rayleigh,512,0.2696150716145833,0.27109415690104166,0.750625,0.7552083333333334,0.19059432018751973,0.2615934325206884,0.001479085286458315,0.004583333333333312,2,8,0.25,1.3725143134554842,"viterbi preferable (similar BER, faster)"
rayleigh_mismatch,128,0.2884296875,0.291671875,0.756,0.7585,0.04538477599958416,0.055628618775328466,0.0032421874999999994,0.0025000000000000022,1,8,0.125,1.225710991188723,viterbi better
rayleigh_mismatch,256,0.2811145324707031,0.2828642272949219,0.7635625,0.768734375,0.09991234432024516,0.14357346416589412,0.0017496948242187462,0.005171874999999998,9,32,0.28125,1.4369942487357084,"viterbi preferable (similar BER, faster)"
rayleigh_mismatch,512,0.2905049641927083,0.2911031087239583,0.8066666666666666,0.8104166666666667,0.2055417907297305,0.26944116804121826,0.0005981445312499895,0.0037499999999999686,2,8,0.25,1.3108826535208593,"viterbi preferable (similar BER, faster)"
