scenario,K,best_decoder_by_ber,best_ber,best_fer_at_best_ber,time_at_best_ber,best_decoder_by_fer,best_ber_at_best_fer,best_fer,time_at_best_fer,fastest_decoder,ber_at_fastest,fer_at_fastest,fastest_time
amplitude_mismatch,128,neural_bcjr,0.36648111979166664,0.87875,0.26618095016657506,viterbi,0.3696419270833333,0.8754166666666666,0.053617279208459226,viterbi,0.3696419270833333,0.8754166666666666,0.053617279208459226
amplitude_mismatch,256,bcjr,0.3758739276960784,0.8988970588235294,0.37384688875501415,viterbi,0.37673339843750003,0.8982843137254902,0.09714720727645848,viterbi,0.37673339843750003,0.8982843137254902,0.09714720727645848
awgn,128,bcjr,0.2131584821428571,0.599047619047619,0.21057185914328627,viterbi,0.2163095238095238,0.5957142857142858,0.0531872820471402,viterbi,0.2163095238095238,0.5957142857142858,0.0531872820471402
awgn,256,bcjr,0.21825402462121213,0.608655303030303,0.36305829883521445,viterbi,0.22140329071969697,0.6070643939393939,0.09477249030516921,viterbi,0.22140329071969697,0.6070643939393939,0.09477249030516921
awgn,512,bcjr,0.2168694196428571,0.6371428571428571,0.7250967345239284,neural_bcjr,0.2176674107142857,0.6352380952380952,0.7944926610003902,viterbi,0.2199897693452381,0.6361904761904762,0.19029060409493032
awgn,1024,bcjr,0.21881696428571426,0.6580952380952381,1.4960809956181662,viterbi,0.22172526041666665,0.6571428571428571,0.39282566361872123,viterbi,0.22172526041666665,0.6571428571428571,0.39282566361872123
burst,128,bcjr,0.26166015625,0.7165,0.17580887752494886,viterbi,0.264224609375,0.7145,0.04538538987521311,viterbi,0.264224609375,0.7145,0.04538538987521311
burst,256,bcjr,0.2648505859375,0.88325,0.4408130324498052,viterbi,0.2685458984375,0.87775,0.11347253359967721,viterbi,0.2685458984375,0.87775,0.11347253359967721
burst,512,bcjr,0.2693021647135416,0.9877083333333333,0.7235973032082014,viterbi,0.27246704101562497,0.9858333333333333,0.19013878335419573,viterbi,0.27246704101562497,0.9858333333333333,0.19013878335419573
impulsive_mismatch,128,bcjr,0.33067578124999997,0.91475,0.1757417033494566,viterbi,0.33291796875,0.9145,0.045348880450008386,viterbi,0.33291796875,0.9145,0.045348880450008386
impulsive_mismatch,256,bcjr,0.3250127868652344,0.94703125,0.3890331316041533,viterbi,0.327140625,0.9468515625,0.10116603132041924,viterbi,0.327140625,0.9468515625,0.10116603132041924
impulsive_mismatch,512,bcjr,0.33512125651041663,0.99,0.7242624262503887,bcjr,0.33512125651041663,0.99,0.7242624262503887,viterbi,0.3373356119791666,0.99,0.19051798454182667
noise_mismatch,128,bcjr,0.24556966145833328,0.6470833333333333,0.20636156695836685,viterbi,0.25078450520833334,0.6383333333333333,0.052165192624937184,viterbi,0.25078450520833334,0.6383333333333333,0.052165192624937184
noise_mismatch,256,bcjr,0.2626618987438725,0.6851470588235293,0.38332937050222016,viterbi,0.2683661726409314,0.6820588235294118,0.09918928623797371,viterbi,0.2683661726409314,0.6820588235294118,0.09918928623797371
rayleigh,128,bcjr,0.263447265625,0.71125,0.19022775854127147,viterbi,0.2651204427083333,0.71,0.04872198104193856,viterbi,0.2651204427083333,0.71,0.04872198104193856
rayleigh,256,bcjr,0.24400985054347826,0.6980434782608695,0.407521289319022,viterbi,0.2477395408740942,0.696231884057971,0.10537440503071997,viterbi,0.2477395408740942,0.696231884057971,0.10537440503071997
rayleigh,512,bcjr,0.2662784830729166,0.7520833333333333,0.7270585595414013,viterbi,0.2696150716145833,0.750625,0.19059432018751973,viterbi,0.2696150716145833,0.750625,0.19059432018751973
rayleigh_mismatch,128,bcjr,0.284921875,0.75625,0.1757380485251487,viterbi,0.2884296875,0.756,0.04538477599958416,viterbi,0.2884296875,0.756,0.04538477599958416
rayleigh_mismatch,256,bcjr,0.2784294738769531,0.7647109375,0.3847230981742186,viterbi,0.2811145324707031,0.7635625,0.09991234432024516,viterbi,0.2811145324707031,0.7635625,0.09991234432024516
rayleigh_mismatch,512,bcjr,0.2879581705729166,0.8075,0.7874995847293274,viterbi,0.2905049641927083,0.8066666666666666,0.2055417907297305,viterbi,0.2905049641927083,0.8066666666666666,0.2055417907297305
